page_number,line_number,event_number,event_name,athlete_name,age,club_name,rank_position,seed_time_text,result_time_text,result_time_ms,status,raw_line
3,16,3,women 45-49 50 LC Meter butterfly,"Arriola, Silvia",45,Aquaclub Maipu,1,"35,62","36,74",36740,valid,"1 Arriola, Silvia 45 Aquaclub Maipu 35,62 36,74"
3,17,3,women 45-49 50 LC Meter butterfly,"Pino, Carla",47,Nielol,2,"40,00","45,51",45510,valid,"2 Pino, Carla 47 Nielol 40,00 45,51"
3,18,3,women 45-49 50 LC Meter butterfly,"Defosse, Carla",45,Master Providencia,3,"47,50","46,14",46140,valid,"3 Defosse, Carla 45 Master Providencia 47,50 46,14"
3,19,3,women 45-49 50 LC Meter butterfly,"Vasquez, Carola",49,Natacion Master Recoleta,4,"52,60","51,33",51330,valid,"4 Vasquez, Carola 49 Natacion Master Recoleta 52,60 51,33"
3,20,3,women 45-49 50 LC Meter butterfly,"Cooper, Karen",46,Master Providencia,5,"50,00","51,55",51550,valid,"5 Cooper, Karen 46 Master Providencia 50,00 51,55"
3,21,3,women 45-49 50 LC Meter butterfly,"Rodriguez, Erika",48,Penñalolen Master,6,"58,35","1:06,57",66570,valid,"6 Rodriguez, Erika 48 Penñalolen Master 58,35 1:06,57"
3,22,3,women 45-49 50 LC Meter butterfly,"Gauna, Noe",45,Azul Natacion Mendoza,,"1:00,00",DQ,,dsq,"--- Gauna, Noe 45 Azul Natacion Mendoza 1:00,00 DQ"
3,24,3,women 50-54 50 LC Meter butterfly,"Tapia, Julieta",51,Master Providencia,1,"58,00","50,87",50870,valid,"1 Tapia, Julieta 51 Master Providencia 58,00 50,87"
3,25,3,women 50-54 50 LC Meter butterfly,"Vera, Claudia",52,Natacion Master Recoleta,2,"46,94","1:01,84",61840,valid,"2 Vera, Claudia 52 Natacion Master Recoleta 46,94 1:01,84"
3,26,3,women 50-54 50 LC Meter butterfly,"Sepulveda, Francesca",51,Calambre Swim Team,3,"1:00,00","1:03,32",63320,valid,"3 Sepulveda, Francesca 51 Calambre Swim Team 1:00,00 1:03,32"
